
2025/04/24 (22:49:39) | ===> btop++ v.1.4.0
2025/04/24 (22:49:39) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/04/24 (22:49:39) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/04/24 (22:49:40) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/24 (22:49:57) | ===> btop++ v.1.4.0
2025/04/24 (22:49:57) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/04/24 (22:49:57) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/04/24 (22:49:57) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/24 (23:02:56) | ===> btop++ v.1.4.0
2025/04/24 (23:02:56) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/04/24 (23:02:56) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/04/24 (23:02:56) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/24 (23:03:13) | ===> btop++ v.1.4.0
2025/04/24 (23:03:13) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/04/24 (23:03:13) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/04/24 (23:03:13) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/24 (23:04:09) | ===> btop++ v.1.4.0
2025/04/24 (23:04:09) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/04/24 (23:04:09) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/04/24 (23:04:09) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/24 (23:06:54) | ===> btop++ v.1.4.0
2025/04/24 (23:06:54) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/04/24 (23:06:54) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/04/24 (23:06:54) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/24 (23:08:48) | ===> btop++ v.1.4.0
2025/04/24 (23:08:48) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/04/24 (23:08:48) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/04/24 (23:08:48) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/24 (23:26:45) | ===> btop++ v.1.4.0
2025/04/24 (23:26:45) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/04/24 (23:26:45) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/04/24 (23:26:45) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/24 (23:44:30) | ===> btop++ v.1.4.0
2025/04/24 (23:44:30) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/04/24 (23:44:30) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/04/24 (23:44:30) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/26 (16:33:12) | ===> btop++ v.1.4.0
2025/04/26 (16:33:12) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/04/26 (16:33:12) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/04/26 (16:33:12) | WARNING: Intel GPU: Failed to initialize PMU
